"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Solucoes","[S.2.1.3][INPUT] Protocolo fora do Prazo","Track ""SPD Solucoes {state.name} input inesperado""","SPD Solucoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","Tracking ""api resumo""","SPD Maquina Safrapay {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{numeroProtocolo}}/ocorrencias | POST | {{bodySolucoesOcorrencia}} | {{bodySolucoesOcorrencia}}","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","Track ""SPD Solucoes {state.name} exibicao""","SPD Solucoes {{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.2.1.4][MSG] Atualizar Protocolo","Track ""SPD Solucoes {state.name} exibicao""","SPD Solucoes {{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.0.0][MSG] Menu Boletos","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.0.0][INPUT] Menu Boletos","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Solucoes","[S.3.0.0][INPUT] Menu Boletos","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[S.3.1.1][MSG] Consulta de Títulos","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.1.2][MSG] Consulta de Títulos 2","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.1.3][MSG] Consulta de Títulos 3","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.2.1][MSG] Emissão de Boleto","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.2.2][MSG] Emissão de Boleto 2","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.2.3][MSG] Emissão de Boleto 3","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.2.4][MSG] Emissão de Boleto 4","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.3.1][MSG] Consulta de boleto","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.3.2][MSG] Consulta de boleto 2","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.4.1][MSG] Botão Espécie 33","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.4.1][INPUT] Botão Espécie 33","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Solucoes","[S.3.4.1][INPUT] Botão Espécie 33","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[S.3.4.2][MSG] Botão Restrições","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.4.3][MSG] Botão Como funciona","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.5.0][INPUT] Botão Saber Mais?","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Solucoes","[S.3.5.0][INPUT] Botão Saber Mais?","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[3.4.2][MSG] Botão O que é?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.6.1][MSG] Botão Boleto com QR Code PIX","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.6.1][INPUT] Botão Boleto com QR Code PIX","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Solucoes","[S.3.6.1][INPUT] Botão Boleto com QR Code PIX","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[S.3.8.1][MSG] Boleto com QR Code PIX","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.8.2][MSG] Boleto com QR Code PIX 2","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.8.3][MSG] Boleto com QR Code PIX 3","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.8.4][MSG] Boleto com QR Code PIX 4","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.7.1][MSG] Boleto Ativado Botão","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] SPD Solucoes","[S.3.7.1][INPUT] Boleto Ativado Botão","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Solucoes","[S.3.7.1][INPUT] Boleto Ativado Botão","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Solucoes","[S.3.7.2][MSG] Video Venda por Boleto","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
